,Population density
中西區 Central and Western District,18810
離島區 Islands District,1020
荃灣區 Tsuen Wan District,5170
東區 Eastern District,29440
南區 Southern District,6780
灣仔區 Wan Chai District,15790
油尖旺區 Yau Tsim Mong District,44460
深水埗區 Sham Shui Po District,46070
九龍城區 Kowloon City District,40990
觀塘區 Kwun Tong District,59700
黃大仙區 Wong Tai Sin District,43730
葵青區 Kwai Tsing District,21250
西貢區 Sai Kung District,3770
沙田區 Sha Tin District,10080
屯門區 Tuen Mun District,5910
元朗區 Yuen Long District,4820
北區 North District,2270
大埔區 Tai Po District,2320
Unit,people/km^2
